i,r,v,p,ni,nr,nv,np
20,19,380,7600,1.088219608,-1.114109099,-0.489443682,-0.248528032
10,42,420,4200,-0.379372581,-0.325165018,-0.417062051,-0.52827593
24,23,552,13248,1.675256484,-0.976901432,-0.17820267,0.216182593
16,8,128,2048,0.501182733,-1.491430181,-0.945447955,-0.705339894
17,4,68,1156,0.647941951,-1.628637847,-1.054020401,-0.778732577
23,40,920,21160,1.528497265,-0.393768851,0.487708332,0.867172407
17,54,918,15606,0.647941951,0.086457981,0.484089251,0.410195988
11,92,1012,11132,-0.232613362,1.38993081,0.654186083,0.042080666
11,11,121,1331,-0.232613362,-1.388524431,-0.958114741,-0.764333789
22,51,1122,24684,1.381738046,-0.016447769,0.853235567,1.157122875
12,2,24,288,-0.085854143,-1.69724168,-1.133640195,-0.85015057
5,72,360,1800,-1.113168675,0.703892479,-0.525634497,-0.725745034
5,53,265,1325,-1.113168675,0.052156064,-0.69754087,-0.764827461
21,11,231,4851,1.234978827,-1.388524431,-0.759065256,-0.474712436
11,53,583,6413,-0.232613362,0.052156064,-0.122106906,-0.34619296
7,73,511,3577,-0.819650238,0.738194395,-0.252393841,-0.579535618
21,24,504,10584,1.234978827,-0.942599516,-0.265060627,-0.003008113
20,87,1740,34800,1.088219608,1.218421227,1.971531762,1.98945515
20,25,500,10000,1.088219608,-0.908297599,-0.27229879,-0.051058928
7,57,399,2793,-0.819650238,0.18936373,-0.455062407,-0.644042193
11,71,781,8591,-0.232613362,0.669590562,0.236182166,-0.166989748
18,8,144,2592,0.79470117,-1.491430181,-0.916495303,-0.66058023
11,76,836,9196,-0.232613362,0.841100145,0.335706908,-0.117211078
6,5,30,180,-0.966409456,-1.59433593,-1.122782951,-0.85903668
12,13,156,1872,-0.085854143,-1.319920598,-0.894780814,-0.719820961
16,25,400,6400,0.501182733,-0.908297599,-0.453252867,-0.347262585
24,23,552,13248,1.675256484,-0.976901432,-0.17820267,0.216182593
13,40,520,6760,0.060905076,-0.393768851,-0.236107975,-0.317642219
5,80,400,2000,-1.113168675,0.978307811,-0.453252867,-0.709289276
16,86,1376,22016,0.501182733,1.18411931,1.312858922,0.937603054
21,7,147,3087,1.234978827,-1.525732097,-0.911066681,-0.619852227
22,99,2178,47916,1.381738046,1.630044225,2.764110618,3.068623805
8,94,752,6016,-0.672891019,1.458534643,0.183705483,-0.378857641
13,17,221,2873,0.060905076,-1.182712932,-0.777160664,-0.637459889
9,38,342,3078,-0.5261318,-0.462372684,-0.558206231,-0.620592736
11,15,165,1815,-0.232613362,-1.251316765,-0.878494947,-0.724510853
13,52,676,8788,0.060905076,0.017854148,0.046180385,-0.150780826
2,20,40,80,-1.553446332,-1.079807182,-1.104687543,-0.867264559
20,81,1620,32400,1.088219608,1.012609728,1.75438687,1.791986046
12,21,252,3024,-0.085854143,-1.045505266,-0.7210649,-0.625035791
16,6,96,1536,0.501182733,-1.560034014,-1.00335326,-0.747466636
13,62,806,10478,0.060905076,0.360873313,0.281420685,-0.011729665
21,11,231,4851,1.234978827,-1.388524431,-0.759065256,-0.474712436
22,84,1848,40656,1.381738046,1.115515477,2.166962165,2.471279764
15,58,870,13050,0.354423514,0.223665647,0.397231294,0.199891392
3,90,270,810,-1.406687113,1.321326977,-0.688493166,-0.80720104
18,69,1242,22356,0.79470117,0.600986729,1.07038046,0.965577844
10,98,980,9800,-0.379372581,1.595742309,0.596280778,-0.067514687
2,31,62,124,-1.553446332,-0.7024861,-1.064877646,-0.863644292
4,100,400,1600,-1.259927894,1.664346142,-0.453252867,-0.742200793
19,89,1691,32129,0.941460389,1.28702506,1.882864264,1.769688492
1,98,98,98,-1.700205551,1.595742309,-0.999734178,-0.865783541
11,92,1012,11132,-0.232613362,1.38993081,0.654186083,0.042080666
12,82,984,11808,-0.085854143,1.046911644,0.603518942,0.097701131
3,76,228,684,-1.406687113,0.841100145,-0.764493879,-0.817568168
14,72,1008,14112,0.207664295,0.703892479,0.64694792,0.287271471
9,36,324,2916,-0.5261318,-0.530976517,-0.590777965,-0.633921901
22,3,66,1452,1.381738046,-1.662939763,-1.057639483,-0.754378055
21,33,693,14553,1.234978827,-0.633882267,0.076942578,0.323556419
19,91,1729,32851,0.941460389,1.355628893,1.951626813,1.829093781
20,4,80,1600,1.088219608,-1.628637847,-1.032305912,-0.742200793
4,69,276,1104,-1.259927894,0.600986729,-0.677635922,-0.783011075
15,39,585,8775,0.354423514,-0.428070768,-0.118487825,-0.15185045
2,22,44,88,-1.553446332,-1.011203349,-1.09744938,-0.866606329
24,50,1200,28800,1.675256484,-0.050749686,0.994379747,1.495782389
3,90,270,810,-1.406687113,1.321326977,-0.688493166,-0.80720104
13,70,910,11830,0.060905076,0.635288645,0.469612925,0.099511264
7,5,35,245,-0.819650238,-1.59433593,-1.113735247,-0.853688558
11,98,1078,11858,-0.232613362,1.595742309,0.773615774,0.10181507
11,59,649,7139,-0.232613362,0.257967563,-0.002677216,-0.286458556
13,15,195,2535,0.060905076,-1.251316765,-0.824208724,-0.665270121
10,7,70,700,-0.379372581,-1.525732097,-1.05040132,-0.816251707
13,5,65,845,0.060905076,-1.59433593,-1.059449024,-0.804321282
12,53,636,7632,-0.085854143,0.052156064,-0.026201246,-0.245895111
22,33,726,15972,1.381738046,-0.633882267,0.136657424,0.440310026
12,64,768,9216,-0.085854143,0.429477146,0.212658136,-0.115565502
6,22,132,792,-0.966409456,-1.011203349,-0.938209792,-0.808682058
12,2,24,288,-0.085854143,-1.69724168,-1.133640195,-0.85015057
23,43,989,22747,1.528497265,-0.290863101,0.612566645,0.997748852
19,49,931,17689,0.941460389,-0.085051602,0.507613281,0.581582715
13,94,1222,15886,0.060905076,1.458534643,1.034189644,0.43323405
21,52,1092,22932,1.234978827,0.017854148,0.798949344,1.012970429
20,39,780,15600,1.088219608,-0.428070768,0.234372625,0.409702315
3,22,66,198,-1.406687113,-1.011203349,-1.057639483,-0.857555662
6,53,318,1908,-0.966409456,0.052156064,-0.60163521,-0.716858925
2,70,140,280,-1.553446332,0.635288645,-0.923733466,-0.850808801
14,33,462,6468,0.207664295,-0.633882267,-0.341061339,-0.341667627
4,80,320,1280,-1.259927894,0.978307811,-0.598016128,-0.768530007
16,24,384,6144,0.501182733,-0.942599516,-0.482205519,-0.368325956
15,7,105,1575,0.354423514,-1.525732097,-0.987067393,-0.744257763
24,74,1776,42624,1.675256484,0.772496312,2.036675229,2.63320443
5,17,85,425,-1.113168675,-1.182712932,-1.023258208,-0.838878375
14,76,1064,14896,0.207664295,0.841100145,0.748282203,0.351778045
4,86,344,1376,-1.259927894,1.18411931,-0.55458715,-0.760631243
3,75,225,675,-1.406687113,0.806798228,-0.769922501,-0.818308677
16,22,352,5632,0.501182733,-1.011203349,-0.540110824,-0.410452698
9,47,423,3807,-0.5261318,-0.153655435,-0.411633429,-0.560611496
10,59,590,5900,-0.379372581,0.257967563,-0.109440121,-0.388401981
12,73,876,10512,-0.085854143,0.738194395,0.408088539,-0.008932186
7,18,126,882,-0.819650238,-1.148411015,-0.949067037,-0.801276967
22,89,1958,43076,1.381738046,1.28702506,2.366011649,2.670394445
4,43,172,688,-1.259927894,-0.290863101,-0.865828162,-0.817239053
19,56,1064,20216,0.941460389,0.155061814,0.748282203,0.789501226
2,86,172,344,-1.553446332,1.18411931,-0.865828162,-0.845542958
18,20,360,6480,0.79470117,-1.079807182,-0.525634497,-0.340680281
6,23,138,828,-0.966409456,-0.976901432,-0.927352548,-0.805720022
4,80,320,1280,-1.259927894,0.978307811,-0.598016128,-0.768530007
15,49,735,11025,0.354423514,-0.085051602,0.15294329,0.033276835
2,54,108,216,-1.553446332,0.086457981,-0.981638771,-0.856074643
2,18,36,72,-1.553446332,-1.148411015,-1.111925706,-0.86792279
16,92,1472,23552,0.501182733,1.38993081,1.486574836,1.063983281
14,74,1036,14504,0.207664295,0.772496312,0.697615061,0.319524758
11,75,825,9075,-0.232613362,0.806798228,0.31580196,-0.127166812
8,10,80,640,-0.672891019,-1.422826348,-1.032305912,-0.821188435
2,55,110,220,-1.553446332,0.120759897,-0.978019689,-0.855745528
19,5,95,1805,0.941460389,-1.59433593,-1.005162801,-0.725333641
13,15,195,2535,0.060905076,-1.251316765,-0.824208724,-0.665270121
23,46,1058,24334,1.528497265,-0.187957352,0.737424958,1.128325297
2,22,44,88,-1.553446332,-1.011203349,-1.09744938,-0.866606329
21,53,1113,23373,1.234978827,0.052156064,0.836949701,1.049255377
14,95,1330,18620,0.207664295,1.492836559,1.229620047,0.658184272
14,76,1064,14896,0.207664295,0.841100145,0.748282203,0.351778045
4,89,356,1424,-1.259927894,1.28702506,-0.53287266,-0.756681861
13,49,637,8281,0.060905076,-0.085051602,-0.024391705,-0.192496174
12,83,996,11952,-0.085854143,1.081213561,0.625233431,0.109549277
22,58,1276,28072,1.381738046,0.223665647,1.131904846,1.435883427
21,10,210,4410,1.234978827,-1.422826348,-0.797065613,-0.510997384
19,7,133,2527,0.941460389,-1.525732097,-0.936400252,-0.665928352
17,43,731,12427,0.647941951,-0.290863101,0.145705127,0.148631704
19,66,1254,23826,0.941460389,0.498080979,1.092094949,1.08652767
6,55,330,1980,-0.966409456,0.120759897,-0.57992072,-0.710934852
8,10,80,640,-0.672891019,-1.422826348,-1.032305912,-0.821188435
2,79,158,316,-1.553446332,0.944005894,-0.891161732,-0.847846764
18,2,36,648,0.79470117,-1.69724168,-1.111925706,-0.820530205
10,37,370,3700,-0.379372581,-0.496674601,-0.50753909,-0.569415327
11,85,935,10285,-0.232613362,1.149817394,0.514851444,-0.027609472
4,42,168,672,-1.259927894,-0.325165018,-0.873066325,-0.818555514
7,82,574,4018,-0.819650238,1.046911644,-0.138392773,-0.543250671
1,93,93,93,-1.700205551,1.424232726,-1.008781882,-0.866194935
21,97,2037,42777,1.234978827,1.561440392,2.50896537,2.645793085
13,92,1196,15548,0.060905076,1.38993081,0.987141584,0.405423818
14,74,1036,14504,0.207664295,0.772496312,0.697615061,0.319524758
16,38,608,9728,0.501182733,-0.462372684,-0.076868387,-0.07343876
18,54,972,17496,0.79470117,0.086457981,0.581804452,0.565702908
9,70,630,5670,-0.5261318,0.635288645,-0.03705849,-0.407326104
5,61,305,1525,-1.113168675,0.326571397,-0.62515924,-0.748371703
17,5,85,1445,0.647941951,-1.59433593,-1.023258208,-0.754954006
3,98,294,882,-1.406687113,1.595742309,-0.645064188,-0.801276967
8,66,528,4224,-0.672891019,0.498080979,-0.221631648,-0.526301239
1,7,7,7,-1.700205551,-1.525732097,-1.164402388,-0.873270911
5,32,160,800,-1.113168675,-0.668184183,-0.887542651,-0.808023828
1,38,38,38,-1.700205551,-0.462372684,-1.108306625,-0.870720269
5,3,15,75,-1.113168675,-1.662939763,-1.149926062,-0.867675953
8,94,752,6016,-0.672891019,1.458534643,0.183705483,-0.378857641
10,72,720,7200,-0.379372581,0.703892479,0.125800179,-0.28143955
12,98,1176,14112,-0.085854143,1.595742309,0.950950769,0.287271471
17,63,1071,18207,0.647941951,0.39517523,0.760948988,0.62420313
6,2,12,72,-0.966409456,-1.69724168,-1.155354684,-0.86792279
11,16,176,1936,-0.232613362,-1.217014848,-0.858589999,-0.714555119
2,17,34,68,-1.553446332,-1.182712932,-1.115544788,-0.868251905
3,22,66,198,-1.406687113,-1.011203349,-1.057639483,-0.857555662
22,55,1210,26620,1.381738046,0.120759897,1.012475155,1.316414619
18,34,612,11016,0.79470117,-0.59958035,-0.069630224,0.032536326
21,100,2100,44100,1.234978827,1.664346142,2.622966438,2.754647929
8,22,176,1408,-0.672891019,-1.011203349,-0.858589999,-0.757998322
18,76,1368,24624,0.79470117,0.841100145,1.298382596,1.152186148
6,83,498,2988,-0.966409456,1.081213561,-0.275917871,-0.627997828
8,24,192,1536,-0.672891019,-0.942599516,-0.829637346,-0.747466636
15,61,915,13725,0.354423514,0.326571397,0.478660629,0.255429578
17,50,850,14450,0.647941951,-0.050749686,0.361040479,0.315081703
4,50,200,800,-1.259927894,-0.050749686,-0.81516102,-0.808023828
7,98,686,4802,-0.819650238,1.595742309,0.064275793,-0.478744096
2,31,62,124,-1.553446332,-0.7024861,-1.064877646,-0.863644292
21,37,777,16317,1.234978827,-0.496674601,0.228944003,0.46869621
13,80,1040,13520,0.060905076,0.978307811,0.704853225,0.238562425
5,14,70,350,-1.113168675,-1.285618681,-1.05040132,-0.845049285
6,78,468,2808,-0.966409456,0.909703978,-0.330204094,-0.642808011
18,25,450,8100,0.79470117,-0.908297599,-0.362775828,-0.207388636
22,58,1276,28072,1.381738046,0.223665647,1.131904846,1.435883427
21,100,2100,44100,1.234978827,1.664346142,2.622966438,2.754647929
3,94,282,846,-1.406687113,1.458534643,-0.666778677,-0.804239003
13,33,429,5577,0.060905076,-0.633882267,-0.400776184,-0.414978032
16,83,1328,21248,0.501182733,1.081213561,1.226000966,0.874412941
10,73,730,7300,-0.379372581,0.738194395,0.143895587,-0.27321167
1,42,42,42,-1.700205551,-0.325165018,-1.101068461,-0.870391153
16,20,320,5120,0.501182733,-1.079807182,-0.598016128,-0.45257944
8,78,624,4992,-0.672891019,0.909703978,-0.047915735,-0.463111126
19,16,304,5776,0.941460389,-1.217014848,-0.62696878,-0.398604552
12,75,900,10800,-0.085854143,0.806798228,0.451517517,0.014764107
16,78,1248,19968,0.501182733,0.909703978,1.081237704,0.769096085
18,36,648,11664,0.79470117,-0.530976517,-0.004486756,0.085852984
3,39,117,351,-1.406687113,-0.428070768,-0.965352904,-0.844967006
5,14,70,350,-1.113168675,-1.285618681,-1.05040132,-0.845049285
13,22,286,3718,0.060905076,-1.011203349,-0.659540514,-0.567934309
13,36,468,6084,0.060905076,-0.530976517,-0.330204094,-0.373262683
13,21,273,3549,0.060905076,-1.045505266,-0.683064544,-0.581839425
13,21,273,3549,0.060905076,-1.045505266,-0.683064544,-0.581839425
12,63,756,9072,-0.085854143,0.39517523,0.190943647,-0.127413648
8,1,8,64,-0.672891019,-1.731543597,-1.162592848,-0.86858102
9,19,171,1539,-0.5261318,-1.114109099,-0.867637702,-0.7472198
6,15,90,540,-0.966409456,-1.251316765,-1.014210505,-0.829416314
8,85,680,5440,-0.672891019,1.149817394,0.053418548,-0.426250226
6,40,240,1440,-0.966409456,-0.393768851,-0.742779389,-0.7553654
3,51,153,459,-1.406687113,-0.016447769,-0.900209436,-0.836080897
7,5,35,245,-0.819650238,-1.59433593,-1.113735247,-0.853688558
9,25,225,2025,-0.5261318,-0.908297599,-0.769922501,-0.707232306
18,64,1152,20736,0.79470117,0.429477146,0.90752179,0.832286199
11,62,682,7502,-0.232613362,0.360873313,0.05703763,-0.256591354
10,46,460,4600,-0.379372581,-0.187957352,-0.344680421,-0.495364413
19,25,475,9025,0.941460389,-0.908297599,-0.317537309,-0.131280752
3,87,261,783,-1.406687113,1.218421227,-0.704779033,-0.809422567
3,12,36,108,-1.406687113,-1.354222514,-1.111925706,-0.864960753
6,26,156,936,-0.966409456,-0.873995683,-0.894780814,-0.796833912
15,95,1425,21375,0.354423514,1.492836559,1.40152642,0.884862348
18,27,486,8748,0.79470117,-0.839693766,-0.297632361,-0.154071977
22,43,946,20812,1.381738046,-0.290863101,0.534756392,0.838539387
20,2,40,800,1.088219608,-1.69724168,-1.104687543,-0.808023828
21,98,2058,43218,1.234978827,1.595742309,2.546965726,2.682078033
22,74,1628,35816,1.381738046,0.772496312,1.768863196,2.073050404
14,5,70,980,0.207664295,-1.59433593,-1.05040132,-0.793213645
21,85,1785,37485,1.234978827,1.149817394,2.052961096,2.21037371
20,86,1720,34400,1.088219608,1.18411931,1.935340946,1.956543632
10,29,290,2900,-0.379372581,-0.771089933,-0.652302351,-0.635238362
24,38,912,21888,1.675256484,-0.462372684,0.473232006,0.927071369
20,49,980,19600,1.088219608,-0.085051602,0.596280778,0.738817489
9,64,576,5184,-0.5261318,0.429477146,-0.134773692,-0.447313597
7,42,294,2058,-0.819650238,-0.325165018,-0.645064188,-0.704517106
24,73,1752,42048,1.675256484,0.738194395,1.993246251,2.585811845
24,87,2088,50112,1.675256484,1.218421227,2.601251949,3.249308035
10,53,530,5300,-0.379372581,0.052156064,-0.218012567,-0.437769257
16,79,1264,20224,0.501182733,0.944005894,1.110190356,0.790159456
14,60,840,11760,0.207664295,0.29226948,0.342945071,0.093751748
24,89,2136,51264,1.675256484,1.28702506,2.688109906,3.344093205
20,88,1760,35200,1.088219608,1.252723143,2.007722577,2.022366667
13,94,1222,15886,0.060905076,1.458534643,1.034189644,0.43323405
10,13,130,1300,-0.379372581,-1.319920598,-0.941828874,-0.766884431
1,3,3,3,-1.700205551,-1.662939763,-1.171640551,-0.873600026
21,36,756,15876,1.234978827,-0.530976517,0.190943647,0.432411262
23,10,230,5290,1.528497265,-1.422826348,-0.760874797,-0.438592045
15,95,1425,21375,0.354423514,1.492836559,1.40152642,0.884862348
1,80,80,80,-1.700205551,0.978307811,-1.032305912,-0.867264559
7,81,567,3969,-0.819650238,1.012609728,-0.151059559,-0.547282331
14,9,126,1764,0.207664295,-1.457128264,-0.949067037,-0.728707071
17,28,476,8092,0.647941951,-0.80539185,-0.315727768,-0.208046866
14,76,1064,14896,0.207664295,0.841100145,0.748282203,0.351778045
11,53,583,6413,-0.232613362,0.052156064,-0.122106906,-0.34619296
8,4,32,256,-0.672891019,-1.628637847,-1.119163869,-0.852783492
15,11,165,2475,0.354423514,-1.388524431,-0.878494947,-0.670206849
24,18,432,10368,1.675256484,-1.148411015,-0.395347562,-0.020780332
13,83,1079,14027,0.060905076,1.081213561,0.775425314,0.280277773
16,9,144,2304,0.501182733,-1.457128264,-0.916495303,-0.684276523
14,57,798,11172,0.207664295,0.18936373,0.266944359,0.045371818
7,77,539,3773,-0.819650238,0.875402061,-0.2017267,-0.563408975
20,38,760,15200,1.088219608,-0.462372684,0.19818181,0.376790798
2,25,50,100,-1.553446332,-0.908297599,-1.086592135,-0.865618983
18,81,1458,26244,0.79470117,1.012609728,1.461241265,1.285477793
1,71,71,71,-1.700205551,0.669590562,-1.048591779,-0.868005068
17,36,612,10404,0.647941951,-0.530976517,-0.069630224,-0.017818296
8,24,192,1536,-0.672891019,-0.942599516,-0.829637346,-0.747466636
23,53,1219,28037,1.528497265,0.052156064,1.028761022,1.43300367
18,94,1692,30456,0.79470117,1.458534643,1.884673805,1.632036071
19,93,1767,33573,0.941460389,1.424232726,2.020389363,1.88849907
21,25,525,11025,1.234978827,-0.908297599,-0.227060271,0.033276835
9,62,558,5022,-0.5261318,0.360873313,-0.167345425,-0.460642762
18,67,1206,21708,0.79470117,0.532382896,1.005236992,0.912261186
1,44,44,44,-1.700205551,-0.256561185,-1.09744938,-0.870226596
4,28,112,448,-1.259927894,-0.80539185,-0.974400608,-0.836985963
20,22,440,8800,1.088219608,-1.011203349,-0.380871236,-0.14979348
20,50,1000,20000,1.088219608,-0.050749686,0.632471594,0.771729007
8,28,224,1792,-0.672891019,-0.80539185,-0.771732042,-0.726403265
13,35,455,5915,0.060905076,-0.565278434,-0.353728124,-0.387167799
11,75,825,9075,-0.232613362,0.806798228,0.31580196,-0.127166812
13,81,1053,13689,0.060905076,1.012609728,0.728377255,0.252467541
7,31,217,1519,-0.819650238,-0.7024861,-0.784398827,-0.748865375
24,60,1440,34560,1.675256484,0.29226948,1.428669532,1.969708239
20,42,840,16800,1.088219608,-0.325165018,0.342945071,0.508436867
24,10,240,5760,1.675256484,-1.422826348,-0.742779389,-0.399921012
4,78,312,1248,-1.259927894,0.909703978,-0.612492454,-0.771162928
13,59,767,9971,0.060905076,0.257967563,0.210848595,-0.053445013
12,77,924,11088,-0.085854143,0.875402061,0.494946495,0.038460399
11,21,231,2541,-0.232613362,-1.045505266,-0.759065256,-0.664776449
13,58,754,9802,0.060905076,0.223665647,0.187324565,-0.067350129
18,21,378,6804,0.79470117,-1.045505266,-0.493062764,-0.314021952
21,81,1701,35721,1.234978827,1.012609728,1.900959672,2.065233919
11,15,165,1815,-0.232613362,-1.251316765,-0.878494947,-0.724510853
7,55,385,2695,-0.819650238,0.120759897,-0.480395978,-0.652105514
14,5,70,980,0.207664295,-1.59433593,-1.05040132,-0.793213645
23,100,2300,52900,1.528497265,1.664346142,2.984874592,3.478701312
3,84,252,756,-1.406687113,1.115515477,-0.7210649,-0.811644095
16,89,1424,22784,0.501182733,1.28702506,1.399716879,1.000793168
14,57,798,11172,0.207664295,0.18936373,0.266944359,0.045371818
10,40,400,4000,-0.379372581,-0.393768851,-0.453252867,-0.544731689
5,60,300,1500,-1.113168675,0.29226948,-0.634206943,-0.750428673
1,59,59,59,-1.700205551,0.257967563,-1.070306268,-0.868992414
1,100,100,100,-1.700205551,1.664346142,-0.996115097,-0.865618983
11,75,825,9075,-0.232613362,0.806798228,0.31580196,-0.127166812
5,5,25,125,-1.113168675,-1.59433593,-1.131830654,-0.863562014
2,96,192,384,-1.553446332,1.527138476,-0.829637346,-0.842251806
22,64,1408,30976,1.381738046,0.429477146,1.370764227,1.674821044
1,41,41,41,-1.700205551,-0.359466934,-1.102878002,-0.870473432
15,28,420,6300,0.354423514,-0.80539185,-0.417062051,-0.355490464
8,60,480,3840,-0.672891019,0.29226948,-0.308489605,-0.557896296
5,90,450,2250,-1.113168675,1.321326977,-0.362775828,-0.688719577
3,90,270,810,-1.406687113,1.321326977,-0.688493166,-0.80720104
20,77,1540,30800,1.088219608,0.875402061,1.609623608,1.660339976
18,80,1440,25920,0.79470117,0.978307811,1.428669532,1.258819464
19,66,1254,23826,0.941460389,0.498080979,1.092094949,1.08652767
12,17,204,2448,-0.085854143,-1.182712932,-0.807922857,-0.672428376
8,74,592,4736,-0.672891019,0.772496312,-0.105821039,-0.484174497
21,77,1617,33957,1.234978827,0.875402061,1.748958247,1.920094127
18,4,72,1296,0.79470117,-1.628637847,-1.046782238,-0.767213546
14,50,700,9800,0.207664295,-0.050749686,0.089609364,-0.067514687
3,76,228,684,-1.406687113,0.841100145,-0.764493879,-0.817568168
5,23,115,575,-1.113168675,-0.976901432,-0.968971985,-0.826536556
4,21,84,336,-1.259927894,-1.045505266,-1.025067749,-0.846201188
17,64,1088,18496,0.647941951,0.429477146,0.791711181,0.647981701
24,26,624,14976,1.675256484,-0.873995683,-0.047915735,0.358360348
7,1,7,49,-0.819650238,-1.731543597,-1.164402388,-0.869815202
18,93,1674,30132,0.79470117,1.424232726,1.852102071,1.605377742
22,93,2046,45012,1.381738046,1.424232726,2.525251237,2.829686189
18,95,1710,30780,0.79470117,1.492836559,1.917245539,1.6586944
22,8,176,3872,1.381738046,-1.491430181,-0.858589999,-0.555263374
21,76,1596,33516,1.234978827,0.841100145,1.710957891,1.883809179
21,84,1764,37044,1.234978827,1.115515477,2.01496074,2.174088762
20,70,1400,28000,1.088219608,0.635288645,1.356287901,1.429959354
18,60,1080,19440,0.79470117,0.29226948,0.777234855,0.725652882
18,54,972,17496,0.79470117,0.086457981,0.581804452,0.565702908
19,87,1653,31407,0.941460389,1.218421227,1.814101715,1.710283204
19,98,1862,35378,0.941460389,1.595742309,2.192295735,2.037012292
11,85,935,10285,-0.232613362,1.149817394,0.514851444,-0.027609472
11,63,693,7623,-0.232613362,0.39517523,0.076942578,-0.24663562
15,43,645,9675,0.354423514,-0.290863101,-0.009915379,-0.077799536
20,72,1440,28800,1.088219608,0.703892479,1.428669532,1.495782389
14,50,700,9800,0.207664295,-0.050749686,0.089609364,-0.067514687
12,39,468,5616,-0.085854143,-0.428070768,-0.330204094,-0.411769159
22,25,550,12100,1.381738046,-0.908297599,-0.181821752,0.121726538
5,77,385,1925,-1.113168675,0.875402061,-0.480395978,-0.715460185
5,98,490,2450,-1.113168675,1.595742309,-0.290394198,-0.672263819
22,89,1958,43076,1.381738046,1.28702506,2.366011649,2.670394445
22,37,814,17908,1.381738046,-0.496674601,0.295897011,0.599601771
15,2,30,450,0.354423514,-1.69724168,-1.122782951,-0.836821406
21,21,441,9261,1.234978827,-1.045505266,-0.379061695,-0.111862956
24,55,1320,31680,1.675256484,0.120759897,1.211524639,1.732745314
23,28,644,14812,1.528497265,-0.80539185,-0.011724919,0.344866626
16,36,576,9216,0.501182733,-0.530976517,-0.134773692,-0.115565502
10,97,970,9700,-0.379372581,1.561440392,0.578185371,-0.075742566
15,90,1350,20250,0.354423514,1.321326977,1.265810862,0.792298705
13,69,897,11661,0.060905076,0.600986729,0.446088895,0.085606148
17,72,1224,20808,0.647941951,0.703892479,1.037808726,0.838210272
10,51,510,5100,-0.379372581,-0.016447769,-0.254203382,-0.454225016
24,32,768,18432,1.675256484,-0.668184183,0.212658136,0.642715858
24,76,1824,43776,1.675256484,0.841100145,2.123533186,2.7279896
11,89,979,10769,-0.232613362,1.28702506,0.594471238,0.012213464
14,49,686,9604,0.207664295,-0.085051602,0.064275793,-0.08364133
6,84,504,3024,-0.966409456,1.115515477,-0.265060627,-0.625035791
11,35,385,4235,-0.232613362,-0.565278434,-0.480395978,-0.525396172
19,8,152,2888,0.941460389,-1.491430181,-0.902018977,-0.636225707
19,25,475,9025,0.941460389,-0.908297599,-0.317537309,-0.131280752
4,17,68,272,-1.259927894,-1.182712932,-1.054020401,-0.851467031
3,75,225,675,-1.406687113,0.806798228,-0.769922501,-0.818308677
19,16,304,5776,0.941460389,-1.217014848,-0.62696878,-0.398604552
8,71,568,4544,-0.672891019,0.669590562,-0.149250018,-0.499972025
22,63,1386,30492,1.381738046,0.39517523,1.33095433,1.634998108
20,17,340,6800,1.088219608,-1.182712932,-0.561825313,-0.314351067
12,20,240,2880,-0.085854143,-1.079807182,-0.742779389,-0.636883938
4,57,228,912,-1.259927894,0.18936373,-0.764493879,-0.798808603
3,20,60,180,-1.406687113,-1.079807182,-1.068496728,-0.85903668
3,47,141,423,-1.406687113,-0.153655435,-0.921923925,-0.839042933
7,92,644,4508,-0.819650238,1.38993081,-0.011724919,-0.502934062
17,88,1496,25432,0.647941951,1.252723143,1.530003815,1.218667413
22,58,1276,28072,1.381738046,0.223665647,1.131904846,1.435883427
8,34,272,2176,-0.672891019,-0.59958035,-0.684874085,-0.694808208
12,14,168,2016,-0.085854143,-1.285618681,-0.873066325,-0.707972815
16,41,656,10496,0.501182733,-0.359466934,0.00998957,-0.010248647
16,14,224,3584,0.501182733,-1.285618681,-0.771732042,-0.578959667
11,90,990,10890,-0.232613362,1.321326977,0.614376186,0.022169198
3,87,261,783,-1.406687113,1.218421227,-0.704779033,-0.809422567
13,48,624,8112,0.060905076,-0.119353519,-0.047915735,-0.20640129
23,78,1794,41262,1.528497265,0.909703978,2.069246963,2.521140713
11,65,715,7865,-0.232613362,0.463779063,0.116752475,-0.226724152
8,59,472,3776,-0.672891019,0.257967563,-0.322965931,-0.563162139
9,34,306,2754,-0.5261318,-0.59958035,-0.623349699,-0.647251066
18,65,1170,21060,0.79470117,0.463779063,0.940093524,0.858944528
9,22,198,1782,-0.5261318,-1.011203349,-0.818780102,-0.727226053
6,18,108,648,-0.966409456,-1.148411015,-0.981638771,-0.820530205
12,8,96,1152,-0.085854143,-1.491430181,-1.00335326,-0.779061693
10,75,750,7500,-0.379372581,0.806798228,0.180086402,-0.256755912
23,32,736,16928,1.528497265,-0.668184183,0.154752831,0.518968553
17,16,272,4624,0.647941951,-1.217014848,-0.684874085,-0.493389722
14,50,700,9800,0.207664295,-0.050749686,0.089609364,-0.067514687
12,76,912,10944,-0.085854143,0.841100145,0.473232006,0.026612253
1,62,62,62,-1.700205551,0.360873313,-1.064877646,-0.868745578
13,70,910,11830,0.060905076,0.635288645,0.469612925,0.099511264
10,68,680,6800,-0.379372581,0.566684812,0.053418548,-0.314351067
17,16,272,4624,0.647941951,-1.217014848,-0.684874085,-0.493389722
12,89,1068,12816,-0.085854143,1.28702506,0.755520366,0.180638154
